Cell,Age group 0,Age group 1,Age group 2,Age group 3,Age group 4,Age group 5,Age group 6,Age group 7,Age group 8,Age group 9,Age group 10,Age group 11,Age group 12,Age group 13,Age group 14,Age group 15,Age group 16
149,1,0,0,0,4,2,1,0,1,0,0,0,1,2,1,0,0
150,0,1,3,0,1,2,4,3,2,2,1,3,5,1,0,3,3
151,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,3
152,2,4,5,8,17,21,18,26,34,24,26,24,19,17,8,12,21
153,0,0,2,1,6,7,5,9,8,10,5,3,9,5,4,3,2
154,1,0,0,0,0,0,0,2,1,1,0,0,3,0,0,2,3
155,0,0,0,0,0,0,3,0,3,4,3,0,0,4,0,0,1
156,1,3,2,2,3,7,9,9,9,7,11,12,9,4,4,12,7
157,2,2,4,8,13,19,20,31,28,27,21,14,13,12,11,7,15
158,0,0,0,0,1,0,0,0,1,0,2,0,3,0,0,0,3
159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
160,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0
161,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1
162,0,0,0,0,5,1,5,5,3,5,4,5,1,3,4,1,6
163,1,1,1,2,7,7,3,4,10,12,10,10,3,5,3,1,3
164,3,2,2,5,6,10,11,13,15,18,5,12,5,8,5,9,10
165,0,0,2,0,3,8,6,9,10,7,8,9,4,9,5,6,3
166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
167,5,3,10,13,32,36,39,49,63,77,64,54,31,24,23,17,24
168,9,14,13,13,47,41,55,86,92,81,66,47,49,32,34,28,42
169,9,7,8,19,38,49,51,76,102,71,53,48,45,31,46,36,46
170,0,3,1,3,14,12,7,3,14,16,12,13,4,5,8,9,9
171,0,0,4,2,10,4,8,3,3,6,6,9,4,5,13,4,3
172,0,1,0,4,4,3,3,4,5,3,2,5,2,4,2,2,6
173,9,9,7,17,23,38,42,70,92,65,42,53,36,27,23,29,44
174,33,46,41,76,175,246,299,314,391,343,285,244,219,160,158,111,213
175,42,50,65,82,220,250,284,331,410,382,341,302,232,191,173,161,214
176,2,4,7,5,23,27,30,42,56,36,34,31,29,25,21,16,37
177,0,0,0,1,2,0,7,3,1,1,3,0,0,5,4,3,0
178,6,8,4,8,13,21,22,32,42,37,23,19,24,11,13,8,27
179,1,3,2,2,11,4,7,14,16,18,10,8,14,13,6,1,15
180,2,3,1,5,17,12,18,23,24,21,20,13,16,12,8,15,20
181,0,0,0,0,1,4,2,0,0,3,0,2,1,1,3,1,0
182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
183,2,1,2,2,2,2,7,9,7,5,6,6,2,4,7,7,9
184,0,0,0,0,6,7,5,2,3,3,0,1,5,2,1,3,2
185,0,0,0,0,1,1,0,0,0,3,3,2,0,0,0,2,1
